Table 1,,,,,
"Comments: 1. For Adidas and Nike, there is one more column called “sub-brand”. 2. For now, the collected data are only about clothing, without shoes. 3. The top 10 clothing brands are found on google. Reference: https://www.thetoptens.com/best-clothing-brands/ ",,,,,
Sector,Brand,Category,Gender,Product,Subtitle
fashion,Nike,surf & swimwear,Women,hurley quick dry,women's surf bottom
fashion,Nike,surf & swimwear,Women,hurley quick dry,women's surf top
fashion,Nike,surf & swimwear,Women,hurley phantom beachrider,women's 15 board shorts
fashion,Nike,surf & swimwear,Women,hurley quick dry stripe,women's surf bottom
fashion,Nike,surf & swimwear,Women,hurley phantom beachrider brooks,women's board shorts
fashion,Nike,surf & swimwear,Women,hurley quick dry tie dye,women's surf bottom
fashion,Nike,surf & swimwear,Women,hurley quick dry ventura,women's surf top
fashion,Nike,surf & swimwear,Women,hurley supersuede stripe beachrider,women's 25 board shorts
fashion,Nike,surf & swimwear,Women,laser convertible,women's swim bottoms
fashion,Nike,surf & swimwear,Women,hurley supersuede tie dye beachrider,women's 25 board shorts
fashion,Nike,surf & swimwear,Women,laser sport,women's swim tankini
fashion,Nike,surf & swimwear,Women,hurley quick dry stripe,women's surf top
fashion,Nike,surf & swimwear,Women,hurley quick dry colin,women's surf bottom
fashion,Nike,surf & swimwear,Women,laser high neck bra,women's swim top
fashion,Nike,surf & swimwear,Women,hurley fusion 202 front zip springsuit,women's wetsuit
fashion,Nike,socks,Women,dri fit cushion crew,training socks large 6 pair
fashion,Nike,socks,Women,dri fit cushioned,crew socks medium 6 pairs
fashion,Nike,socks,Women,nikegrip lightweight crew, training socks
fashion,Nike,socks,Women,dri fit low cut,socks medium 6 pairs
fashion,Nike,socks,Women,dri fit low cut training socks large,6 pair
fashion,Nike,socks,Women,elite lightweight compression over the calf,running socks
fashion,Nike,socks,Women,elite lightweight no show tab,running socks
fashion,Nike,socks,Women,elite 2 crew, running socks
fashion,Nike,socks,Women,stadium over the calf,soccer socks
fashion,Nike,socks,Women,lightweight no show,socks medium 6 pair
fashion,Nike,socks,Women,lightweight no show,socks 3 pair
fashion,Nike,socks,Women,elite lightweight no show,running socks
fashion,Nike,socks,Women,dri fit tour crew, golf socks
fashion,Nike,socks,Women,elite lightweight 2 quarter, running socks
fashion,Nike,socks,Women,elite cushion quarter, running socks
