100_percent: RB intensifier 
air_division: N nc orgHN 
air_filter: N nc prod 
air_force: N nc orgHN 
air_force_base: N locUnit nc 
air_freshening_machine: N nc prod tool 
air_group: N nc orgHN 
air_gun: N nc tool 
air_hammer: N nc tool 
air_hose: N nc prod tool 
air_lane: N nc 
air_marshal: N job nc 
air_mile: N nc unit 
air_pump: N count nc tool 
air_raid: N count event nc 
air_rifle: N nc tool 
air_shaft: N count nc tool 
air_space: N nc 
air_thermometer: N nc tool 
air_traveler: N count nc per 
air_traveller: N count nc per 
air_unit: N nc orgHN 
aircraft_carrier: N nc tool 
aircraft_engine: N nc tool 
airplane_propeller: N nc tool 
alarm_clock: N count nc tool 
alarm_installer: N job nc 
alarm_system: N nc prod 
alarming_speed: N nc solution 
alaska_native: N nc origin per 
alaskan_native: N nc origin per 
albumin_dialysis: N nc treatment 
alcohol_content: N nc ntN 
alcohol_thermometer: N nc tool 
aldosterone_blockade: N nc treatment 
ale_drinker: N nc per 
alexander_technique: N nc treatment 
algerian_centime: N nc unit 
algerian_dinar: N nc unit 
alien_absconder: N nc per 
aliterate_person: N nc per 
alizarin_test: N nc tech 
all_access_pass: N nc pt 
all_arounder: N nc per 
all_day_shift: N nc nt 
all_for_the_best: A ac idiomPP imperative 
all_in_a_day's_work: A ac idiomPP pred 
all_joking_aside: RB idiomPP 
all_kidding_aside: RB idiomPP 
all_of: pureDT 
all_over_the_place: RB idiomPP 
all_saints'_day: N nc timeUnit 
all_shook_up: A ac idiomPP pred 
all_souls'_day: N nc timeUnit 
all_such: pureDT 
all_the: pureDT 
all_the_way: RB tWord 
all_year_round: RB idiomPP 
allen_wrench: N count nc tool 
allergy_diet: N nc treatment 
allergy_shot: N nc treatment 
allergy_test: VB pt vc 
allergy_tested: A ac ed pred pt 
allied_country: N nc 
alligator_wrench: N count nc tool 
alloc_unit: N nc unit 
allogenic_bone_marrow_transplantation: N nc treatment 
allotype_suppression: N nc treatment 
allow_for: VB tWord vc 
allow_in: VB pt vc 
alma_mater: abstract org 
alms_box: N count nc tool 
alms_dish: N nc tool 
alms_tray: N nc tool 
along_for_the_ride: A ac idiomPP 
along_in_years: A ac idiomPP //?
along_the_way: RB idiomPP 
along_with: P 
alpha_adrenergic_blocking: N nc treatment 
alpha_adrenergic_receptor_blocking: N nc treatment 
alpha_adrenergic_stimulation: N nc treatment 
alpha_bungarotoxin: N nc nt 
alpha_latrotoxin: N nc nt 
alpha_software: N nc tool 
alpha_toxin: N nc nt 
alphanumeric_display: N nc prod tool 
alpine_lift: N nc tool 
altar_boy: N nc per 
alter_ego: N count nc per 
alternative_energy: N nc 
alternative_medicine: N nc treatment 
aluminium_foil: N nc prod 
aluminium_tolerance: N abstract nc 
aluminum_foil: N nc prod 
aluminum_tolerance: N abstract nc 
alveolar_artery: N bodyPart nc 
alveolar_sac: N bodyPart nc 
ambulatory_monitoring: N nc treatment 
ambulatory_surgery: N nc treatment 
american_indian: N nc origin per 
american_standard_code_for_info_interchange: N nc tool 
amicus_curiae: N nc per 
amino_acid: N nc prod 
ammodytoxin_a: N nc nt 
ammonia_clock: N nc tool 
ammunition_chest: N nc tool 
among_friends: A ac idiomPP 
amp_meter: N nc prod tool 
amphetamine_detection: N nc treatment 
amphibious_aircraft: N nc tool 
amphibious_vehicle: N nc prod 
amputation_stump: N bodyPart nc 
amusement_park: N nc 
amylase_inhibition: N nc treatment 
anabaena_flos_aquae_toxin: N nc nt 
anal_cancer_cellular_diagnosis: N nc treatment 
anal_retentive: A ac nt 
anal_wank_stain: N curse nc 
analog_clock: N nc tool 
analog_watch: N nc tool 
analytical_balance: N nc tool 
anchor_chain: N nc tool 
ancien_regime: N abstract nc 
androgen_therapy: N nc treatment 
aneroid_barometer: N nc tool 
anesthesia_induction: N nc treatment 
anesthesia_reversal: N nc treatment 
anesthetic_recovery: N nc treatment 
aneurysm_surgery: N nc treatment 
angiogenic_gene_therapy: N nc treatment 
angle_of_attack: N nc 
angle_of_dip: N nc 
angle_of_extinction: N nc 
angle_of_incidence: N nc 
angle_of_inclination: N nc 
angle_of_reflection: N nc 
angle_of_refraction: N nc 
angle_of_view: N nc 
anglican_catholic: N nc per 
angry_cat: N nc 
angstrom_unit: N nc unit 
angular_distance: N nc 
angular_unit: N nc unit 
animal_fancier: N nc per 
animal_fiber: N nc prod 
animal_fibre: N nc prod 
anionic_detergent: N nc prod 
ankle_arthrodesis: N nc treatment 
another_such: pureDT 
anovulatory_drug: N nc prod 
answering_machine: N nc tool 
answering_phone: N nc pt 
antarctic_circle: N nc 
antarctic_zone: N nc 
antediluvian_patriarch: N nc per 
anterior_cruciate_ligament: N bodyPart nc 
anterior_cruciate_ligament_reconstruction: N nc treatment 
anterior_intravaginal_slingplasty: N nc treatment 
anterior_spine_fusion: N nc treatment 
anterolateral_thigh_flap: N nc treatment 
anthrax_bacillus: N nc nt 
anthrax_toxin: N nc nt 
anti-g_suit: N nc tool 
anti-personnel_bomb: N nc prod 
anti-submarine_rocket: N nc prod 
anti-sway_bar: N nc tool 
anti-torque_rotor: N nc tool 
anti-virus_program: N nc tool 
anti_cardiolipin_level: N abstract nc 
antiangiogenic_gene_therapy: N nc treatment 
antiangiogenic_therapy: N nc treatment 
antianxiety_drug: N nc prod 
antibiotic_prophylaxis: N nc treatment 
antibiotic_resistance: N nc nt 
antibiotic_therapy: N nc treatment 
antibody_positive_AIDS_test: N nc treatment 
anticoagulant_therapy: N nc treatment 
anticonvulsant_therapy: N nc treatment 
antifungal_resistance: N abstract nc 
antigen_positive_AIDS_test: N nc treatment 
antihypertensive_therapy: N nc treatment 
antimicrobial_therapy: N nc treatment 
antipersonnel_bomb: N nc prod 
antireflux_operation: N nc treatment 
antisense_therapy: N nc treatment 
antiviral_therapy: N nc treatment 
anus_cancer_cellular_diagnosis: N nc treatment 
anus_surgery: N nc treatment 
any_execuse: N nc troubleW 
any_kind: N abstract nc 
any_of: pureDT 
any_one: N NP nc per proNN vac 
any_other: pureDT 
any_such: pureDT 
anybody_else: N NP nc per proNN vac 
anyone_else: N NP nc per proNN 
anything_else: N NP nc proNN tWord 
ao_dai: N nc tool 
aorta_clamping: N nc treatment 
aorta_graft: N nc treatment 
aorta_prosthesis: N nc treatment 
aorta_reconstruction: N nc treatment 
aorta_surgery: N nc treatment 
aorta_valve_replacement: N nc treatment 
aortic_annuloplasty: N nc treatment 
aortic_arch_surgery: N nc treatment 
aortic_root_surgery: N nc treatment 
aortic_valve: N bodyPart nc 
aortic_valve_commissurotomy: N nc treatment 
aortic_valve_repair: N nc treatment 
aortocoronary_bypass: N nc treatment 
aortofemoral_bypass: N nc treatment 
aortopulmonary_shunt: N nc treatment 
apart_from: P /besides/ 
aplysia_toxin: N nc nt 
apnea_monitoring: N nc treatment 
apostelic_father: N nc relatives 
apostle_of_germany: N nc per 
apostle_of_the_gentiles: N nc per 
apostolic_delegate: N nc per 
apothecaries'_ounce: N nc unit 
apothecaries'_pound: N nc unit 
apothecaries'_unit: N nc unit 
apothecaries'_weight: N nc unit 
apparel_chain: N com nc 
apparent_horizon: N nc 
appeal_board: N nc orgHN 
appeals_board: N nc orgHN 
appeals_clerk: N job nc 
appeals_court: N nc orgHN 
appellate_court: N nc orgHN 
apple_orchard: N nc 
apple_polisher: N nc per 
application_program: N nc tool 
application_support_engineer: N job nc 
applications_programme: N nc tool 
approach_path: N nc 
apyretic_tetanus: N nc nt 
arc_lamp: N nc prod 
arc_light: N nc prod 
archeological_site: N nc 
archicad_drafter: N job nc 
architectural_drafter: N job nc 
architectural_job_captain: N job nc 
architectural_lead: N job nc 
arctic_zone: N nc 
area_unit: N nc unit 
argon_plasma_coagulation: N deverbal nc treatment 
arise_from: VB effectV vc 
ark_of_the_covenant: N nc tool 
arm_amputation: N nc treatment 
arm_exercise: N nc treatment 
arm_guard: N nc tool 
armchair_liberal: N nc per 
armed_forces: N nc orgHN 
armed_islamic_group: N nc orgHN 
armed_service: N nc orgHN 
armed_services: N nc orgHN 
arminian_baptist: N nc per 
armor_plate: N nc tool 
armor_plating: N nc tool 
armored_combat_vehicle: N nc prod 
armored_vehicle: N nc prod 
armour_plate: N nc tool 
armoured_combat_vehicle: N nc prod 
armoured_vehicle: N nc prod 
arms_manufacturer: N nc per 
army_brat: N nc per 
army_tank: N nc prod tool 
army_unit: N nc orgHN 
around_the_bend: A ac idiomPP pred 
around_the_corner: A ac idiomPP 
around_the_country: RB idiomPP 
around_town: RB idiomPP 
arriere_pensee: N count nc 
arse_hole: N curse nc 
arse_wipe: N curse nc 
art_nouveau: N abstract nc 
art_therapy: N nc treatment 
arteriovenous_shunt: N nc treatment 
artery_anastomosis: N nc treatment 
artery_bypass: N nc treatment 
artery_graft: N nc treatment 
artery_ligation: N nc treatment 
artery_reconstruction: N nc treatment 
artery_stripping: N nc treatment 
artery_surgery: N nc treatment 
artery_transplantation: N nc treatment 
arthroscopic_surgery: N nc treatment 
artificial_embolism: N nc treatment 
artificial_feeding: N nc treatment 
artificial_heart: N nc prod tool 
artificial_horizon: N nc tool 
artificial_insemination: N nc treatment 
artificial_intelligence: N nc tech 
artificial_joint: N nc tool 
artificial_kidney: N nc tool 
artificial_pacemaker: N nc tool 
artificial_pneumothorax: N nc treatment 
artificial_satellite: N nc prod 
artificial_ventilation: N nc treatment 
artillery_shell: N nc tool 
artillery_unit: N nc orgHN 
as_a_matter_of_course: RB expression idiomPP 
as_a_matter_of_principle: RB idiomPP 
as_a_matter_of_protocol: RB idiomPP 
as_against: P /as_opposed_to/ 
as_an_afterthought: RB idiomPP 
as_an_aside: RB idiomPP 
as_between: P /between/ 
as_compared_with: P 
as_far_as: SC 
as_for: P /about/ 
as_from: P 
as_hell_but_fun: A ac coolC oral 
as_if: SC 
as_it_stands: RB idiomPP 
as_long_as: SC 
as_of: P 
as_opposed_to: P 
as_regard_to: P /about/ 
as_regards: P 'as_regard_to' /about/ 
as_regards_to: P 'as_regard_to' /about/ 
as_soon_as: SC 
as_such: RB idiomPP 
as_things_stand: RB idiomPP 
as_though: SC 
as_to: P /about/ 
as_well_as: SC 
as_with: P /about/ 
asain_bitch: N curse nc per 
ascending_aorta_surgery: N nc treatment 
ascending_node: N nc 
asian_american: N nc origin per 
aside_from: P /besides/ 
ask_for: VB chgCR take useC vc 
asparagus_bed: N nc 
ass_bitch: N curse nc 
ass_imitator: N curse nc 
assault_rifle: N nc tool 
assembly_line: N nc tool 
assembly_program: N nc tool 
assembly_tech: N job nc 
assertive_training: N nc treatment 
asset_management: N comHN nc 
assistant_deputy_minister: N job nc 
assistant_planning_officer: N job nc 
assoc_director: N job nc 
assoc_prof: N job nc 
associate_editor: N job nc 
associate_inspector: N job nc 
associate_manager: N job nc 
associate_marketing_manager: N job nc 
associate_product_marketing_manager: N job nc 
associated_state: N nc 
asst_planning_officer: N job nc 
asst_prof: N job nc 
astatic_coils: N nc tool 
astatic_galvanometer: N nc tool 
